ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
501,Rubiácea,,,,,,R$ 1.217.698,39.79%,357,501_Rubiácea.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/501_Rubi%C3%A1cea.pdf
502,Rubinéia,,,,,,R$ 1.099.511,25.7%,435,502_Rubinéia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/502_Rubin%C3%A9ia.pdf
503,Sabino,,,,,,R$ 1.483.070,37.38%,449,503_Sabino.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/503_Sabino.pdf
504,Sagres,,,,,,R$ 992.442,36.83%,276,504_Sagres.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/504_Sagres.pdf
505,Sales,,,,,,R$ 1.283.205,20.31%,654,505_Sales.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/505_Sales.pdf
506,Sales Oliveira,,,,,,R$ 2.446.137,29.12%,982,506_Sales_Oliveira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/506_Sales_Oliveira.pdf
507,Salesópolis,,,,,,R$ 6.171.619,44.95%,1.675,507_Salesópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/507_Sales%C3%B3polis.pdf
508,Salmourão,,,,,,R$ 2.784.830,61.73%,580,508_Salmourão.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/508_Salmour%C3%A3o.pdf
509,Saltinho,,,,,,R$ 2.274.939,29.03%,932,509_Saltinho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/509_Saltinho.pdf
510,Salto,,,,,,R$ 35.110.301,40.67%,10.518,510_Salto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/510_Salto.pdf
511,Salto de Pirapora,,,,,,R$ 17.260.391,46.81%,4.641,511_Salto_de_Pirapora.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/511_Salto_de_Pirapora.pdf
512,Salto Grande,,,,,,R$ 3.713.088,38.97%,1.066,512_Salto_Grande.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/512_Salto_Grande.pdf
513,Sandovalina,,,,,,R$ 2.559.303,45.67%,676,513_Sandovalina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/513_Sandovalina.pdf
514,Santa Adélia,,,,,,R$ 5.360.079,40.48%,1.619,514_Santa_Adélia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/514_Santa_Ad%C3%A9lia.pdf
515,Santa Albertina,,,,,,R$ 2.055.105,36.48%,632,515_Santa_Albertina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/515_Santa_Albertina.pdf
516,Santa Bárbara DOeste,,,,,,R$ 39.735.323,28.99%,15.095,516_Santa_Bárbara_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/516_Santa_B%C3%A1rbara_DOeste.pdf
517,Santa Branca,,,,,,R$ 5.529.812,34.81%,1.846,517_Santa_Branca.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/517_Santa_Branca.pdf
518,Santa Clara DOeste,,,,,,R$ 1.296.869,41.27%,315,518_Santa_Clara_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/518_Santa_Clara_DOeste.pdf
519,Santa Cruz da Conceição,,,,,,R$ 2.212.799,70.4%,413,519_Santa_Cruz_da_Conceição.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/519_Santa_Cruz_da_Concei%C3%A7%C3%A3o.pdf
520,Santa Cruz da Esperança,,,,,,R$ 1.740.281,57.42%,390,520_Santa_Cruz_da_Esperança.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/520_Santa_Cruz_da_Esperan%C3%A7a.pdf
521,Santa Cruz das Palmeiras,,,,,,R$ 11.294.482,51.24%,2.716,521_Santa_Cruz_das_Palmeiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/521_Santa_Cruz_das_Palmeiras.pdf
522,Santa Cruz do Rio Pardo,,,,,,R$ 12.596.423,30.64%,4.603,522_Santa_Cruz_do_Rio_Pardo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/522_Santa_Cruz_do_Rio_Pardo.pdf
523,Santa Ernestina,,,,,,R$ 2.085.248,37.65%,626,523_Santa_Ernestina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/523_Santa_Ernestina.pdf
524,Santa Fé do Sul,,,,,,R$ 15.810.645,37.4%,4.991,524_Santa_Fé_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/524_Santa_F%C3%A9_do_Sul.pdf
525,Santa Gertrudes,,,,,,R$ 16.129.551,46.97%,4.337,525_Santa_Gertrudes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/525_Santa_Gertrudes.pdf
