ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
604,Tarabai,,,,,,R$ 4.162.697,44.83%,1.095,604_Tarabai.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/604_Tarabai.pdf
605,Tarumã,,,,,,R$ 3.448.447,19.83%,1.969,605_Tarumã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/605_Tarum%C3%A3.pdf
606,Tatuí,,,,,,R$ 47.922.511,42.93%,13.539,606_Tatuí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/606_Tatu%C3%AD.pdf
607,Taubaté,,,,,,R$ 109.967.716,32.44%,39.077,607_Taubaté.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/607_Taubat%C3%A9.pdf
608,Tejupá,,,,,,R$ 2.153.454,45.26%,561,608_Tejupá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/608_Tejup%C3%A1.pdf
609,Teodoro Sampaio,,,,,,R$ 8.615.741,40.4%,2.574,609_Teodoro_Sampaio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/609_Teodoro_Sampaio.pdf
610,Terra Roxa,,,,,,R$ 2.979.629,31.94%,1.106,610_Terra_Roxa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/610_Terra_Roxa.pdf
611,Tietê,,,,,,R$ 14.212.328,32.05%,5.151,611_Tietê.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/611_Tiet%C3%AA.pdf
612,Timburi,,,,,,R$ 1.269.153,59.23%,264,612_Timburi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/612_Timburi.pdf
613,Torre de Pedra,,,,,,R$ 1.935.505,78.57%,297,613_Torre_de_Pedra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/613_Torre_de_Pedra.pdf
614,Torrinha,,,,,,R$ 2.129.577,33.07%,688,614_Torrinha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/614_Torrinha.pdf
615,Trabiju,,,,,,R$ 1.789.331,76.29%,307,615_Trabiju.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/615_Trabiju.pdf
616,Tremembé,,,,,,R$ 18.614.239,45.88%,5.061,616_Tremembé.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/616_Trememb%C3%A9.pdf
617,Três Fronteiras,,,,,,R$ 3.202.144,65.11%,652,617_Três_Fronteiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/617_Tr%C3%AAs_Fronteiras.pdf
618,Tuiuti,,,,,,R$ 3.345.836,35.74%,988,618_Tuiuti.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/618_Tuiuti.pdf
619,Tupã,,,,,,R$ 7.140.763,17.65%,4.375,619_Tupã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/619_Tup%C3%A3.pdf
620,Tupi Paulista,,,,,,R$ 5.687.836,39.27%,1.789,620_Tupi_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/620_Tupi_Paulista.pdf
621,Turiúba,,,,,,R$ 1.024.383,58.77%,174,621_Turiúba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/621_Turi%C3%BAba.pdf
622,Turmalina,,,,,,R$ 1.135.210,70.32%,162,622_Turmalina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/622_Turmalina.pdf
623,Ubarana,,,,,,R$ 4.095.061,50.01%,1.032,623_Ubarana.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/623_Ubarana.pdf
624,Ubatuba,,,,,,R$ 43.184.831,40.68%,12.797,624_Ubatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/624_Ubatuba.pdf
625,Ubirajara,,,,,,R$ 2.960.780,59.05%,646,625_Ubirajara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/625_Ubirajara.pdf
626,Uchoa,,,,,,R$ 5.079.435,44.08%,1.434,626_Uchoa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/626_Uchoa.pdf
627,União Paulista,,,,,,R$ 892.322,93.61%,107,627_União_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/627_Uni%C3%A3o_Paulista.pdf
628,Urânia,,,,,,R$ 1.558.827,38.58%,439,628_Urânia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/628_Ur%C3%A2nia.pdf
629,Uru,,,,,,R$ 1.156.312,63.04%,182,629_Uru.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/629_Uru.pdf
630,Urupês,,,,,,R$ 6.162.046,40.02%,1.935,630_Urupês.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/630_Urup%C3%AAs.pdf
631,Valentim Gentil,,,,,,R$ 5.085.248,42.91%,1.494,631_Valentim_Gentil.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/631_Valentim_Gentil.pdf
632,Valinhos,,,,,,R$ 40.918.408,51.97%,10.388,632_Valinhos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/632_Valinhos.pdf
633,Valparaíso,,,,,,R$ 8.084.357,37.93%,2.456,633_Valparaíso.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/633_Valpara%C3%ADso.pdf
634,Vargem,,,,,,R$ 6.474.400,50.89%,1.575,634_Vargem.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/634_Vargem.pdf
635,Vargem Grande do Sul,,,,,,R$ 13.539.497,43.49%,3.819,635_Vargem_Grande_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/635_Vargem_Grande_do_Sul.pdf
636,Vargem Grande Paulista,,,,,,R$ 19.548.950,49.45%,5.123,636_Vargem_Grande_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/636_Vargem_Grande_Paulista.pdf
637,Várzea Paulista,,,,,,R$ 45.699.818,54.12%,11.209,637_Várzea_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/637_V%C3%A1rzea_Paulista.pdf
638,Vera Cruz,,,,,,R$ 3.043.677,40.94%,926,638_Vera_Cruz.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/638_Vera_Cruz.pdf
639,Vinhedo,,,,,,R$ 15.740.299,16.6%,9.827,639_Vinhedo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/639_Vinhedo.pdf
640,Viradouro,,,,,,R$ 5.511.022,29.03%,2.227,640_Viradouro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/640_Viradouro.pdf
641,Vista Alegre do Alto,,,,,,R$ 2.613.830,32.19%,977,641_Vista_Alegre_do_Alto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/641_Vista_Alegre_do_Alto.pdf
642,Vitória Brasil,,,,,,R$ 1.362.766,86.74%,194,642_Vitória_Brasil.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/642_Vit%C3%B3ria_Brasil.pdf
643,Votorantim,,,,,,R$ 39.731.879,41.87%,11.687,643_Votorantim.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/643_Votorantim.pdf
644,Votuporanga,,,,,,R$ 13.504.263,17.29%,8.551,644_Votuporanga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/644_Votuporanga.pdf
645,Zacarias,,,,,,R$ 1.422.332,63.33%,279,645_Zacarias.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/645_Zacarias.pdf
